mode,epoch,acc,loss,length,game_size,vocab_size,hidden_size,n_epochs,embedding_size,max_len,sender_cell
test,46,0.5,0.9688977003097534,5.0,4,100,40,100,40,4,gru
train,47,0.6875,0.06102347373962402,5.0,4,100,40,100,40,4,gru
test,47,0.550000011920929,0.8251990079879761,5.0,4,100,40,100,40,4,gru
train,48,0.6499999761581421,0.060262519866228104,5.0,4,100,40,100,40,4,gru
test,48,0.5,0.8578168153762817,5.0,4,100,40,100,40,4,gru
train,49,0.7124999761581421,0.06129840761423111,5.0,4,100,40,100,40,4,gru
test,49,0.44999998807907104,0.8756612539291382,5.0,4,100,40,100,40,4,gru
train,50,0.7250000238418579,0.05963116139173508,5.0,4,100,40,100,40,4,gru
test,50,0.5,0.8674342036247253,5.0,4,100,40,100,40,4,gru
train,51,0.6875,0.061439044773578644,5.0,4,100,40,100,40,4,gru
test,51,0.44999998807907104,0.8831180334091187,5.0,4,100,40,100,40,4,gru
train,52,0.7124999761581421,0.059325627982616425,5.0,4,100,40,100,40,4,gru
test,52,0.5,0.9592180252075195,5.0,4,100,40,100,40,4,gru
train,53,0.7124999761581421,0.06011191010475159,5.0,4,100,40,100,40,4,gru
test,53,0.5,0.92926424741745,5.0,4,100,40,100,40,4,gru
train,54,0.699999988079071,0.05733586475253105,5.0,4,100,40,100,40,4,gru
test,54,0.3499999940395355,1.001596212387085,5.0,4,100,40,100,40,4,gru
train,55,0.6499999761581421,0.05968655273318291,5.0,4,100,40,100,40,4,gru
test,55,0.5,0.9679191708564758,5.0,4,100,40,100,40,4,gru
train,56,0.6625000238418579,0.05915984511375427,5.0,4,100,40,100,40,4,gru
test,56,0.5,0.9679113626480103,5.0,4,100,40,100,40,4,gru
train,57,0.6000000238418579,0.06299303472042084,5.0,4,100,40,100,40,4,gru
test,57,0.25,1.0257391929626465,5.0,4,100,40,100,40,4,gru
train,58,0.6499999761581421,0.06362252682447433,5.0,4,100,40,100,40,4,gru
test,58,0.4000000059604645,1.0638805627822876,5.0,4,100,40,100,40,4,gru
train,59,0.637499988079071,0.06208673119544983,5.0,4,100,40,100,40,4,gru
test,59,0.3499999940395355,1.0260517597198486,5.0,4,100,40,100,40,4,gru
train,60,0.6499999761581421,0.05840840935707092,5.0,4,100,40,100,40,4,gru
test,60,0.44999998807907104,0.9861957430839539,5.0,4,100,40,100,40,4,gru
train,61,0.699999988079071,0.056845296174287796,5.0,4,100,40,100,40,4,gru
test,61,0.44999998807907104,1.0314338207244873,5.0,4,100,40,100,40,4,gru
train,62,0.6875,0.05904138833284378,5.0,4,100,40,100,40,4,gru
test,62,0.44999998807907104,1.0007188320159912,5.0,4,100,40,100,40,4,gru
train,63,0.5874999761581421,0.05910390615463257,5.0,4,100,40,100,40,4,gru
test,63,0.3499999940395355,1.0533738136291504,5.0,4,100,40,100,40,4,gru
train,64,0.699999988079071,0.059136081486940384,5.0,4,100,40,100,40,4,gru
test,64,0.44999998807907104,1.000450849533081,5.0,4,100,40,100,40,4,gru
train,65,0.7250000238418579,0.057153355330228806,5.0,4,100,40,100,40,4,gru
test,65,0.44999998807907104,1.004460334777832,5.0,4,100,40,100,40,4,gru
train,66,0.7124999761581421,0.05970524623990059,5.0,4,100,40,100,40,4,gru
test,66,0.44999998807907104,1.0260858535766602,5.0,4,100,40,100,40,4,gru
train,67,0.699999988079071,0.059741150587797165,5.0,4,100,40,100,40,4,gru
test,67,0.550000011920929,1.0387043952941895,5.0,4,100,40,100,40,4,gru
train,68,0.699999988079071,0.056857120245695114,5.0,4,100,40,100,40,4,gru
test,68,0.44999998807907104,1.0899693965911865,5.0,4,100,40,100,40,4,gru
train,69,0.699999988079071,0.056840382516384125,5.0,4,100,40,100,40,4,gru
test,69,0.44999998807907104,1.0891392230987549,5.0,4,100,40,100,40,4,gru
train,70,0.7124999761581421,0.056256312876939774,5.0,4,100,40,100,40,4,gru
test,70,0.44999998807907104,1.097985029220581,5.0,4,100,40,100,40,4,gru
train,71,0.6875,0.05667707324028015,5.0,4,100,40,100,40,4,gru
test,71,0.44999998807907104,1.065154790878296,5.0,4,100,40,100,40,4,gru
train,72,0.6875,0.06047508120536804,5.0,4,100,40,100,40,4,gru
test,72,0.44999998807907104,0.9919951558113098,5.0,4,100,40,100,40,4,gru
train,73,0.6875,0.05942559242248535,5.0,4,100,40,100,40,4,gru
test,73,0.5,1.15187406539917,5.0,4,100,40,100,40,4,gru
train,74,0.7124999761581421,0.0579635426402092,5.0,4,100,40,100,40,4,gru
test,74,0.5,1.077650547027588,5.0,4,100,40,100,40,4,gru
train,75,0.699999988079071,0.05785767361521721,5.0,4,100,40,100,40,4,gru
test,75,0.44999998807907104,1.04240882396698,5.0,4,100,40,100,40,4,gru
train,76,0.6875,0.059262465685606,5.0,4,100,40,100,40,4,gru
test,76,0.44999998807907104,1.0189334154129028,5.0,4,100,40,100,40,4,gru
train,77,0.7124999761581421,0.05709826946258545,5.0,4,100,40,100,40,4,gru
test,77,0.5,1.0759429931640625,5.0,4,100,40,100,40,4,gru
train,78,0.7124999761581421,0.0567651093006134,5.0,4,100,40,100,40,4,gru
test,78,0.44999998807907104,1.0242778062820435,5.0,4,100,40,100,40,4,gru
train,79,0.675000011920929,0.05890154093503952,5.0,4,100,40,100,40,4,gru
test,79,0.3499999940395355,1.043075442314148,5.0,4,100,40,100,40,4,gru
train,80,0.7250000238418579,0.057048290967941284,5.0,4,100,40,100,40,4,gru
test,80,0.44999998807907104,1.050252079963684,5.0,4,100,40,100,40,4,gru
train,81,0.75,0.05863131955265999,5.0,4,100,40,100,40,4,gru
test,81,0.44999998807907104,1.1071112155914307,5.0,4,100,40,100,40,4,gru
train,82,0.699999988079071,0.056954097002744675,5.0,4,100,40,100,40,4,gru
test,82,0.3499999940395355,1.093806505203247,5.0,4,100,40,100,40,4,gru
train,83,0.675000011920929,0.059665877372026443,5.0,4,100,40,100,40,4,gru
test,83,0.44999998807907104,1.1192208528518677,5.0,4,100,40,100,40,4,gru
train,84,0.737500011920929,0.05886923149228096,5.0,4,100,40,100,40,4,gru
test,84,0.5,1.0755926370620728,5.0,4,100,40,100,40,4,gru
train,85,0.6875,0.05714923143386841,5.0,4,100,40,100,40,4,gru
test,85,0.44999998807907104,1.0719804763793945,5.0,4,100,40,100,40,4,gru
train,86,0.7124999761581421,0.05734743922948837,5.0,4,100,40,100,40,4,gru
test,86,0.44999998807907104,1.094106912612915,5.0,4,100,40,100,40,4,gru
train,87,0.6875,0.05922408029437065,5.0,4,100,40,100,40,4,gru
test,87,0.5,1.1070246696472168,5.0,4,100,40,100,40,4,gru
train,88,0.6875,0.058256249874830246,5.0,4,100,40,100,40,4,gru
test,88,0.5,1.1466844081878662,5.0,4,100,40,100,40,4,gru
train,89,0.637499988079071,0.06221713498234749,5.0,4,100,40,100,40,4,gru
test,89,0.4000000059604645,1.0270655155181885,5.0,4,100,40,100,40,4,gru
train,90,0.6875,0.060319822281599045,5.0,4,100,40,100,40,4,gru
test,90,0.25,1.2182304859161377,5.0,4,100,40,100,40,4,gru
train,91,0.699999988079071,0.056429825723171234,5.0,4,100,40,100,40,4,gru
test,91,0.4000000059604645,1.109194278717041,5.0,4,100,40,100,40,4,gru
train,92,0.699999988079071,0.056765954941511154,5.0,4,100,40,100,40,4,gru
test,92,0.44999998807907104,1.174100399017334,5.0,4,100,40,100,40,4,gru
train,93,0.6499999761581421,0.06307925283908844,5.0,4,100,40,100,40,4,gru
test,93,0.5,1.1579862833023071,5.0,4,100,40,100,40,4,gru
train,94,0.737500011920929,0.058290034532547,5.0,4,100,40,100,40,4,gru
test,94,0.44999998807907104,1.160453200340271,5.0,4,100,40,100,40,4,gru
train,95,0.7250000238418579,0.05574061721563339,5.0,4,100,40,100,40,4,gru
test,95,0.44999998807907104,1.1793811321258545,5.0,4,100,40,100,40,4,gru
train,96,0.7250000238418579,0.05539903789758682,5.0,4,100,40,100,40,4,gru
test,96,0.5,1.1291412115097046,5.0,4,100,40,100,40,4,gru
train,97,0.6875,0.05729111284017563,5.0,4,100,40,100,40,4,gru
test,97,0.5,1.122359275817871,5.0,4,100,40,100,40,4,gru
train,98,0.7250000238418579,0.056441597640514374,5.0,4,100,40,100,40,4,gru
test,98,0.44999998807907104,1.2309086322784424,5.0,4,100,40,100,40,4,gru
train,99,0.699999988079071,0.058258675038814545,5.0,4,100,40,100,40,4,gru
test,99,0.44999998807907104,1.215873122215271,5.0,4,100,40,100,40,4,gru
train,100,0.737500011920929,0.054697901010513306,5.0,4,100,40,100,40,4,gru
test,100,0.5,1.1738277673721313,5.0,4,100,40,100,40,4,gru
